# lon1 lat1 z1 lon2 lat2 z2 lon3 lat3 z3 slip_m rake_deg time_s
175.776799 -39.684319 -45854.140000 175.742709 -39.607414 -50000.000000 175.671741 -39.678326 -50000.000000 0.000000 0.000000 0.000000
174.461851 -40.684663 -46536.440000 174.416997 -40.607840 -50000.000000 174.350519 -40.681668 -49760.610000 0.000000 0.000000 0.000000
175.196251 -42.160147 -3938.054000 175.107414 -42.103474 -6096.232000 175.084985 -42.190979 -5378.688000 0.000000 0.000000 0.000000
175.002504 -42.127724 -7393.713000 174.970352 -42.214458 -7240.272000 175.084985 -42.190979 -5378.688000 0.000000 0.000000 0.000000
175.404848 -41.982043 -5197.362000 175.302169 -42.026648 -5105.642000 175.404732 -42.069627 -2937.377000 2.985585 121.475000 49.381348
176.441621 -39.073164 -44744.280000 176.422699 -38.996298 -49706.730000 176.343678 -39.061568 -49861.550000 0.000000 0.000000 0.000000
176.291432 -39.204825 -45100.160000 176.267441 -39.128851 -50000.000000 176.191468 -39.196178 -50000.000000 0.000000 0.000000 0.000000
175.743606 -41.855495 -6605.516000 175.624042 -41.892396 -6212.793000 175.721611 -41.941177 -4186.013000 6.037623 146.610113 30.152996
179.003995 -36.347771 -45172.380000 178.972165 -36.273126 -49811.060000 178.905919 -36.344746 -49731.230000 0.000000 0.000000 0.000000
178.936021 -36.420703 -45205.950000 178.905919 -36.344746 -49731.230000 178.837487 -36.415208 -49718.790000 0.000000 0.000000 0.000000
178.351936 -37.073777 -45529.780000 178.321399 -36.997913 -50000.000000 178.252693 -37.068394 -49998.480000 0.000000 0.000000 0.000000
176.193372 -41.731310 -6007.840000 176.173887 -41.817664 -4062.767000 176.286096 -41.785661 -3904.390000 6.493194 107.814662 24.291302
176.506301 -41.608820 -6806.104000 176.390536 -41.652983 -6562.640000 176.494177 -41.696369 -5067.312000 10.433026 108.925791 13.507450
177.525736 -38.029428 -44941.100000 177.498916 -37.954384 -49822.600000 177.428899 -38.024909 -50000.000000 0.000000 0.000000 0.000000
176.628851 -41.572801 -6825.127000 176.506301 -41.608820 -6806.104000 176.602844 -41.659646 -5384.617000 9.289845 108.563546 13.706333
